date,naive,signal,n_days,advantage_bp,hit
2021-04-30,36.05,36.050000000000004,2.0,7.105427357601002e-15,True
2021-05-31,38.105000000000004,38.10303030303031,20.0,-0.0019696969696951783,False
2021-06-30,37.92727272727273,38.46388888888888,22.0,0.536616161616152,True
2021-07-31,34.666666666666664,34.8075117370892,21.0,0.1408450704225359,True
2021-08-31,31.486363636363635,31.75487804878049,22.0,0.2685144124168559,True
2021-09-30,37.18571428571428,38.145454545454534,21.0,0.9597402597402507,True
2021-10-31,54.73333333333333,54.73333333333333,21.0,0.0,False
2021-11-30,70.20952380952379,70.32926829268291,21.0,0.11974448315912412,True
2021-12-31,59.02272727272727,66.68657718120804,22.0,7.663849908480763,True
2022-01-31,31.920000000000005,31.920000000000005,20.0,0.0,False
2022-02-28,13.910526315789474,13.910526315789474,19.0,0.0,False
2022-03-31,18.586956521739133,18.633632286995518,23.0,0.04667576525638495,True
2022-04-30,22.7,22.272413793103446,20.0,-0.427586206896553,False
2022-05-31,15.652380952380948,15.571999999999997,21.0,-0.08038095238095089,False
2022-06-30,15.409523809523808,16.13581395348837,21.0,0.7262901439645617,True
2022-07-31,5.055000000000001,5.607317073170731,20.0,0.5523170731707303,True
2022-08-31,0.7130434782608698,1.161325966850829,23.0,0.4482824885899591,True
2022-09-30,-4.409523809523809,-0.38181818181818183,21.0,4.027705627705627,True
2022-10-31,21.2,21.2,21.0,0.0,False
2022-11-30,35.06666666666666,34.876470588235286,21.0,-0.1901960784313772,False
2022-12-31,20.338095238095235,25.644512195121944,21.0,5.306416957026709,True
2023-01-31,3.1800000000000006,3.7880597014925375,20.0,0.6080597014925369,True
2023-02-28,9.521052631578948,9.521052631578948,19.0,0.0,False
2023-03-31,-2.278260869565217,-1.2473053892215564,23.0,1.0309554803436607,True
2023-04-30,17.257894736842104,18.502941176470586,19.0,1.2450464396284815,True
2023-05-31,26.227272727272727,26.20232558139535,22.0,-0.024947145877376897,False
2023-06-30,40.285714285714285,40.37692307692307,21.0,0.09120879120878556,True
2023-07-31,47.795,48.64411764705882,20.0,0.8491176470588186,True
2023-08-31,44.19130434782608,46.65981308411214,23.0,2.4685087362860543,True
2023-09-30,44.675,47.79126984126983,20.0,3.1162698412698333,True
2023-10-31,51.93636363636363,52.304,22.0,0.36763636363637175,True
2023-11-30,50.5047619047619,50.511822660098524,21.0,0.007060755336624425,True
2023-12-31,62.864999999999995,64.91481481481482,20.0,2.049814814814823,True
2024-01-31,45.976190476190474,48.26065573770491,21.0,2.284465261514434,True
2024-02-29,44.405,45.58819444444445,20.0,1.183194444444446,True
2024-03-31,60.585,62.189655172413794,20.0,1.6046551724137927,True
2024-04-30,52.46363636363637,52.787892376681604,22.0,0.3242560130452361,True
2024-05-31,53.540909090909096,61.50789473684211,22.0,7.966985645933015,True
2024-06-30,77.46842105263158,77.86944444444445,19.0,0.4010233918128705,True
2024-07-31,72.87727272727274,73.412,22.0,0.5347272727272667,True
2024-08-31,61.10454545454545,62.902499999999996,22.0,1.7979545454545445,True
2024-09-30,72.58,74.01363636363637,20.0,1.4336363636363672,True
2024-10-31,96.1086956521739,97.06136363636364,23.0,0.9526679841897305,True
2024-11-30,130.01,130.01,20.0,0.0,False
2024-12-31,131.54761904761904,141.8893382352941,21.0,10.341719187675068,True
2025-01-31,66.325,66.325,20.0,0.0,False
2025-02-28,63.421052631578945,65.28018867924528,19.0,1.8591360476663397,True
2025-03-31,61.11428571428571,61.9121693121693,21.0,0.7978835978835903,True
2025-04-30,45.214285714285715,46.648341232227494,21.0,1.434055517941779,True
2025-05-31,38.6,39.55384615384615,21.0,0.9538461538461505,True
2025-06-30,44.515,44.00777202072539,20.0,-0.5072279792746102,False
2025-07-31,46.854545454545466,46.98645833333334,22.0,0.1319128787878725,True
2025-08-31,49.976190476190474,50.07662337662337,21.0,0.10043290043289232,True
2025-09-30,58.847619047619055,62.38773946360154,21.0,3.5401204159824857,True
2025-10-31,82.32608695652175,82.62222222222223,23.0,0.2961352657004852,True
2025-11-30,95.47894736842106,96.06666666666666,19.0,0.5877192982456023,True
2025-12-31,74.86363636363637,80.60955414012736,22.0,5.745917776490984,True
