date,spread_3m_bp,spread_1y_bp
2025-08-05,47.8,70.2
2025-08-06,48.1,69.4
2025-08-07,47.8,68.8
2025-08-08,47.7,68.8
2025-08-11,47.9,69.2
2025-08-12,48.6,69.1
2025-08-13,48.2,69.2
2025-08-14,48.9,69.2
2025-08-15,48.4,68.1
2025-08-18,48.3,68.7
2025-08-19,48.5,69
2025-08-20,50.4,70.3
2025-08-21,49.9,69.6
2025-08-22,50.4,70.5
2025-08-25,49.3,70.2
2025-08-26,53.3,71.2
2025-08-27,54.4,72.8
2025-08-28,54.3,73
2025-08-29,54.5,73.6
2025-09-02,55.6,74.8
2025-09-03,53.8,74.7
2025-09-04,53.1,74.5
2025-09-05,52.3,76.2
2025-09-08,50.6,75.7
2025-09-09,50.8,76.1
2025-09-10,47.5,77.6
2025-09-11,49.4,77.3
2025-09-12,55.7,77.8
2025-09-15,59.6,81.6
2025-09-16,59.1,78.9
2025-09-17,60.1,77.5
2025-09-18,59.7,75.3
2025-09-19,65.8,75.2
2025-09-22,61.9,76.2
2025-09-23,59.7,76.9
2025-09-24,65.4,76.5
2025-09-25,67.6,76.9
2025-09-26,70.2,77.2
2025-09-29,68.4,77.3
2025-09-30,69.5,76.9
2025-10-01,69,73.8
2025-10-02,67.5,73.1
2025-10-03,70.8,72.8
2025-10-06,72.2,73.1
2025-10-07,71.9,73.9
2025-10-08,76.4,74.2
2025-10-09,77.4,75
2025-10-10,75.7,73.8
2025-10-13,77,75.5
2025-10-14,77.2,72.4
2025-10-15,79.8,72.9
2025-10-16,82.9,72.4
2025-10-17,83.4,73.2
2025-10-20,87.8,75.8
2025-10-21,87.8,75.7
2025-10-22,87.7,74.9
2025-10-23,87.9,75.3
2025-10-24,94.2,75.9
2025-10-27,94.1,76.2
2025-10-28,92.2,76.1
2025-10-29,91.4,75.4
2025-10-30,94.7,75.1
2025-10-31,94.5,75.4
2025-11-03,94.4,75.3
2025-11-04,92.9,75
2025-11-05,97,75.8
2025-11-06,99.8,75.5
2025-11-07,99.1,75.1
2025-11-10,98.9,75.3
2025-11-11,104.4,78.6
2025-11-12,97.4,75.4
2025-11-13,96.1,75.8
2025-11-14,96.5,75.9
2025-11-17,95.3,75.5
2025-11-18,94,74.9
2025-11-19,96.3,74.1
2025-11-20,93.3,73.5
2025-11-21,94,73
2025-11-24,94,72.1
2025-11-25,92.7,71.2
2025-11-26,89.5,71.5
2025-11-28,88.5,71
2025-12-01,87.5,69.4
2025-12-02,87.1,67.4
2025-12-03,84.4,66.9
2025-12-04,84.7,67
2025-12-05,86.2,68.9
2025-12-08,85.6,68.4
2025-12-09,88.6,68.1
2025-12-10,86.7,69.4
2025-12-11,88.3,68.3
2025-12-12,94,70
2025-12-15,89.7,67.6
2025-12-16,78,63.8
2025-12-17,61.3,58.3
2025-12-18,64,58.4
2025-12-19,64.2,61.7
2025-12-22,64.6,61.5
2025-12-23,62.4,60.1
2025-12-24,56.9,60
2025-12-26,55.6,60.7
2025-12-29,59.5,59.5
2025-12-30,60.2,60.4
2025-12-31,57.5,60.5
